Monthly_Income,Current_EMIs,Employment_Type,Credit_Score,Loan_Amount,Tenure_Years,Age,Bank_Interest_Rate,Processing_Fee_Percentage,Minimum_Tenure_Allowed,Maximum_Tenure_Allowed,Loan_Status
158949,14239,Self-Employed,649,2326632,4,46,16.47,1.01,2,23,1
106665,10534,Salaried,659,2884503,12,28,17.52,0.86,3,15,0
144909,39823,Salaried,652,1174552,9,56,16.76,1.32,1,23,0
109182,26251,Salaried,727,2646016,4,50,13.09,1.95,2,24,1
198871,66567,Salaried,572,4037400,9,43,11.69,2.01,3,10,0
95989,22222,Self-Employed,706,2512282,8,34,9.97,1.97,3,29,0
156295,48166,Salaried,756,1954400,7,34,12.3,0.79,3,25,1
86718,7970,Self-Employed,689,1959103,1,22,11.98,2.0,2,13,0
151711,51187,Salaried,690,2788356,5,57,13.82,1.52,2,11,0
133294,10866,Salaried,735,4989113,5,25,14.82,2.76,3,10,0
17631,2186,Self-Employed,778,4833063,13,58,17.79,2.78,3,22,0
148014,47664,Salaried,661,497564,14,34,15.42,2.42,2,25,1
93629,35556,Salaried,682,1348972,2,59,14.62,2.26,1,17,0
43004,3925,Self-Employed,676,1680188,1,45,11.68,0.79,3,13,0
90955,16676,Salaried,812,4791242,3,40,8.83,0.71,1,11,0
95978,4860,Salaried,748,1220025,13,22,11.24,2.6,1,22,0
190365,61336,Student,675,313369,5,59,15.8,1.57,2,14,0
32279,12097,Salaried,647,2394297,2,26,10.45,1.63,2,29,0
152930,8950,Salaried,742,1863318,1,37,15.27,2.62,1,30,0
137181,47458,Self-Employed,692,1116970,10,45,14.01,2.05,2,22,0
183377,42628,Salaried,675,919403,10,48,10.13,0.95,1,14,1
135212,19968,Student,718,3436038,1,22,10.99,1.03,1,25,0
178224,30624,Salaried,766,630420,6,55,13.21,0.52,2,15,0
73013,19030,Salaried,688,2214725,2,57,12.47,2.28,2,25,0
192398,4123,Salaried,700,4286901,7,25,15.9,1.71,3,22,0
56751,21442,Self-Employed,666,1930414,13,21,15.48,2.87,2,20,0
160291,1617,Salaried,689,1384996,1,32,13.96,2.29,3,30,0
32959,12138,Salaried,778,4791152,7,56,16.31,0.76,2,10,0
182732,45104,Salaried,595,2643103,1,43,13.85,0.9,2,13,0
18515,4454,Salaried,723,755339,10,51,17.66,1.75,2,12,0
111129,21330,Salaried,608,4613736,2,31,10.56,2.81,2,27,0
27875,10835,Self-Employed,663,1738120,10,30,15.28,1.12,1,25,0
153736,29281,Self-Employed,620,2572189,10,23,12.01,2.56,2,22,0
84918,16449,Salaried,629,3477495,9,34,11.15,1.28,1,22,0
108826,27460,Self-Employed,707,3306101,6,36,10.21,1.17,2,16,1
33909,9117,Salaried,758,3693003,5,30,13.75,2.75,2,24,0
15005,4776,Salaried,678,1579451,3,49,10.55,0.62,1,24,0
31482,525,Salaried,720,3184122,5,30,10.4,2.15,2,14,0
99335,35453,Salaried,745,4122660,12,32,17.91,0.61,3,26,1
104846,36868,Salaried,769,1875779,2,50,16.12,2.5,3,20,0
109376,17175,Salaried,699,2193781,12,21,15.61,2.57,2,22,0
83513,17226,Salaried,676,3501345,8,25,16.04,2.73,3,19,1
84806,13286,Self-Employed,664,4300220,1,40,17.7,0.97,3,24,0
18811,5155,Salaried,594,796403,11,28,13.95,0.81,3,11,1
88062,19362,Self-Employed,748,881284,9,32,10.59,1.76,3,20,1
193908,4595,Salaried,732,1796659,11,21,16.69,1.18,1,20,1
34405,8970,Student,723,4509895,8,40,15.56,2.02,1,10,0
73282,4899,Self-Employed,765,910513,8,48,12.44,1.78,1,17,0
139698,37830,Salaried,647,4440741,2,57,13.0,0.86,3,26,0
27210,4204,Salaried,682,1431173,13,57,12.41,2.35,3,17,0
18052,2696,Salaried,738,198388,14,32,17.33,2.51,1,22,1
112095,3238,Student,795,2627697,14,57,11.76,2.91,3,14,0
179141,40274,Salaried,709,3627141,11,48,17.65,1.49,1,15,0
100365,2203,Self-Employed,729,1685846,13,35,17.15,1.34,1,29,1
39644,5725,Self-Employed,699,971463,10,26,14.49,0.98,1,23,0
185187,22540,Salaried,643,4759075,5,40,14.01,0.95,3,26,0
166002,47950,Salaried,660,4690353,13,34,12.02,1.3,1,25,0
35758,1082,Salaried,668,2513208,7,22,8.67,2.95,2,18,0
87008,2775,Self-Employed,732,3714877,7,29,9.71,0.73,1,28,0
33615,5118,Salaried,707,4710296,7,57,15.67,1.15,1,11,0
151772,38839,Salaried,648,3737193,12,40,12.98,0.71,2,13,0
53533,26,Salaried,690,2514209,3,46,9.92,1.18,3,29,0
113315,24154,Self-Employed,751,733045,5,49,11.01,0.73,1,18,1
126975,5774,Self-Employed,619,2432992,9,21,17.5,1.77,2,13,1
152656,25462,Salaried,658,4511733,12,55,11.99,1.6,3,14,0
178571,22995,Self-Employed,644,419556,7,26,17.12,0.94,2,15,0
105450,22333,Salaried,641,4658474,7,57,11.39,0.94,1,29,0
104590,31661,Student,678,2938851,8,25,13.66,2.07,2,10,0
51025,12069,Salaried,740,4918136,9,53,8.69,1.47,3,22,0
199085,9665,Salaried,673,1191219,5,34,13.46,0.64,1,27,0
191682,50807,Self-Employed,597,2959419,6,32,14.55,2.8,2,12,0
24643,2567,Salaried,829,3872379,1,40,10.73,1.51,3,29,0
167418,10619,Self-Employed,633,2602387,3,44,14.0,1.98,3,14,0
142673,34744,Salaried,680,1250413,4,54,14.65,2.71,1,22,1
27857,3619,Salaried,699,4979405,1,45,15.03,1.51,1,19,0
53862,3681,Salaried,724,811654,13,49,15.88,2.55,1,12,0
49404,18227,Salaried,695,4684995,2,59,11.46,2.79,1,20,0
167771,12454,Salaried,708,1886294,10,51,13.89,0.94,2,10,0
172557,59967,Salaried,652,4298887,14,43,17.83,2.73,3,24,0
42086,16484,Self-Employed,753,1159240,9,58,17.03,0.8,1,13,0
184246,3491,Salaried,642,2971984,8,40,17.55,1.19,1,24,0
171537,48155,Salaried,750,1778177,11,43,12.17,2.52,1,16,0
197177,61050,Salaried,643,986184,7,36,15.98,2.75,2,24,1
182022,7867,Salaried,767,1618473,14,28,14.39,2.21,3,13,0
98984,35533,Salaried,581,4572700,11,41,9.29,0.76,3,12,0
147783,25801,Salaried,740,2989119,9,21,16.33,1.81,1,23,0
31220,3667,Salaried,649,2274103,7,28,14.93,1.93,3,15,0
111190,9669,Salaried,730,3509824,1,49,10.39,1.2,2,10,0
63737,8967,Salaried,698,4836431,12,52,9.26,2.98,3,18,0
194969,42287,Student,707,1837702,12,58,16.45,1.34,1,21,0
27803,473,Salaried,709,4258002,1,25,9.25,1.03,3,27,0
28117,7215,Salaried,753,378624,8,42,9.37,0.78,2,12,0
168574,50010,Self-Employed,678,1565697,9,54,12.56,1.45,2,30,0
98533,15629,Salaried,655,643695,2,21,9.78,2.23,3,28,0
57176,3260,Student,668,1195865,11,46,17.18,1.08,3,12,0
72788,8155,Student,709,462230,9,30,12.97,2.42,1,23,0
109075,30102,Self-Employed,786,4005544,9,50,13.91,0.84,1,13,1
138775,13207,Salaried,622,2075321,8,38,17.32,1.6,1,22,1
179967,40379,Self-Employed,696,2895653,10,37,13.54,2.26,3,22,1
124513,20943,Salaried,720,2300477,3,46,11.86,0.84,2,11,0
75263,20692,Salaried,650,1372924,1,28,16.07,1.99,2,30,0
197214,33872,Salaried,611,4549829,5,32,12.71,2.5,3,11,0
26467,8802,Salaried,753,807902,13,47,11.53,1.99,2,19,0
162276,19755,Self-Employed,742,4599417,10,28,15.37,1.78,2,20,0
125675,28730,Self-Employed,700,3006181,13,45,16.12,2.6,3,24,1
49364,8767,Salaried,688,4485776,10,24,16.02,2.96,2,12,1
53502,15675,Self-Employed,710,1176805,10,53,17.79,0.95,3,23,0
120711,44554,Salaried,687,4348149,3,21,15.97,2.23,1,27,0
90396,10745,Salaried,674,1302002,6,39,15.81,0.7,2,28,0
63566,10954,Self-Employed,648,298595,10,51,16.65,0.61,3,28,0
194729,8498,Student,720,970200,10,36,8.5,1.2,2,10,1
31442,9765,Salaried,622,527698,5,34,11.94,2.93,2,28,0
179781,39309,Salaried,706,2367574,14,25,15.51,1.88,1,12,0
130123,17223,Self-Employed,695,2460098,5,46,14.2,1.17,3,29,1
138795,27215,Salaried,758,1856129,2,48,10.19,0.83,1,17,1
184741,36126,Self-Employed,582,2723383,5,22,11.39,2.8,2,26,0
168290,57205,Salaried,700,600162,6,26,11.7,1.41,2,10,0
37455,4112,Salaried,764,1339783,2,29,13.89,1.27,2,15,1
167783,5630,Salaried,686,892721,10,53,16.4,2.64,3,26,0
93930,1067,Salaried,723,1310561,13,45,17.36,2.01,1,30,1
35773,8143,Salaried,695,301442,3,33,15.63,0.92,3,10,0
70008,6209,Salaried,654,2067949,3,29,16.51,1.55,2,22,0
128583,19179,Salaried,743,2100377,2,33,12.97,2.82,1,21,0
135120,28562,Self-Employed,829,2698323,6,51,12.2,2.75,2,14,0
164800,11094,Salaried,720,1635508,13,31,12.23,0.68,1,29,1
67748,26253,Salaried,669,3596226,12,24,14.35,1.17,3,22,0
185505,34555,Self-Employed,745,1251934,2,54,9.68,0.89,3,17,0
27318,3055,Self-Employed,660,1632185,1,58,14.01,1.83,3,21,0
117770,26044,Salaried,734,2788599,11,24,14.82,2.37,3,18,0
88820,17665,Salaried,775,2073106,11,58,12.67,1.24,3,26,0
183354,38218,Salaried,757,3444493,12,39,17.56,2.39,1,23,0
94059,24667,Self-Employed,758,1150620,3,26,14.28,2.17,1,16,0
73817,4734,Student,683,4650505,2,54,10.59,2.32,2,13,0
116046,37403,Student,677,2299170,1,38,13.05,2.87,1,16,0
174327,56441,Salaried,638,161597,11,33,14.92,1.56,2,26,1
181811,5539,Self-Employed,739,4592429,8,43,11.57,1.36,3,26,0
74577,28664,Salaried,783,2588309,5,39,9.26,2.21,1,10,0
173984,50659,Self-Employed,757,4300994,5,31,14.04,2.52,1,11,0
150162,45266,Student,716,506082,11,21,17.5,0.98,3,27,1
61698,1110,Salaried,718,4213219,10,44,13.11,2.62,3,18,0
46566,8678,Self-Employed,738,1122374,14,27,17.11,0.64,3,14,0
20631,7945,Salaried,707,4924178,5,45,16.43,0.52,2,10,0
150360,6734,Salaried,680,4555797,7,41,9.9,0.9,2,16,0
139478,1600,Student,742,4700325,14,35,15.23,2.95,1,11,0
77931,9963,Self-Employed,732,950794,10,21,12.64,1.81,3,12,1
118612,29815,Salaried,696,581108,1,32,10.88,0.62,1,13,1
140191,39776,Salaried,734,2492716,1,27,15.03,2.99,3,12,0
24711,4089,Student,754,4457300,2,35,15.56,2.36,3,28,0
164854,51782,Salaried,615,2648677,5,41,10.21,2.6,3,21,0
167049,57396,Salaried,705,430703,5,39,17.19,1.03,3,24,1
176874,55822,Salaried,595,130291,3,49,15.64,0.76,3,13,0
172341,50138,Salaried,715,2286149,4,45,17.37,1.79,2,10,0
133018,27617,Salaried,554,859063,1,53,11.51,2.43,1,25,0
153955,19708,Salaried,626,4133671,4,52,17.42,2.09,3,15,0
108885,14002,Student,692,4616733,4,55,12.0,2.08,2,26,0
91830,10908,Salaried,708,4323487,11,58,9.01,2.39,2,14,0
23163,5058,Salaried,773,4999944,12,46,15.75,1.07,3,22,0
19920,1887,Salaried,771,962234,14,31,15.18,2.15,3,21,0
155736,1099,Salaried,635,1597840,6,55,14.18,1.48,2,10,0
21402,4521,Salaried,732,589353,10,28,13.15,0.67,3,21,1
68257,25686,Self-Employed,792,2490342,12,34,8.81,1.01,2,11,0
17175,3149,Self-Employed,594,3280086,9,30,14.43,2.49,3,27,0
49579,16555,Salaried,678,90751,5,22,12.46,2.74,2,18,0
46644,753,Salaried,762,2334302,14,29,13.82,1.21,3,25,0
124407,42185,Salaried,759,3285925,14,23,12.58,0.98,2,29,0
39276,15410,Self-Employed,656,1228102,12,41,17.68,0.57,1,24,0
155521,15657,Salaried,698,2666670,11,46,14.24,2.87,3,19,0
183828,71880,Student,788,3564734,14,28,15.62,2.21,3,11,0
161486,63176,Self-Employed,743,1740045,12,22,17.4,2.89,2,13,0
56091,7588,Salaried,641,3999770,5,26,14.12,2.66,3,27,0
183622,54033,Salaried,723,4147996,5,48,8.61,1.35,1,28,0
138989,49581,Salaried,698,3283116,12,49,8.83,0.78,1,27,0
50764,3467,Self-Employed,690,4234737,7,46,15.17,1.75,2,23,0
39940,9114,Salaried,735,4572289,10,45,11.15,0.57,2,17,0
80285,26779,Salaried,693,815127,3,32,14.0,0.87,3,14,0
99590,4544,Salaried,713,1984062,5,25,10.42,1.08,2,14,0
170861,1617,Self-Employed,657,2187154,14,54,11.07,2.16,1,17,0
146583,47314,Salaried,643,1828650,14,57,13.29,1.77,1,20,0
180541,8496,Student,735,2878520,5,35,17.77,1.26,3,30,0
91614,28030,Salaried,741,3312983,1,56,14.35,1.91,1,16,0
52690,5046,Salaried,687,253811,7,35,17.39,0.81,2,22,1
30797,9647,Salaried,665,3845627,7,43,17.61,2.39,3,26,0
199566,52268,Salaried,677,3159070,12,26,10.48,2.28,3,28,0
193417,11885,Self-Employed,722,3999244,8,41,11.46,1.04,3,12,0
49361,14758,Self-Employed,659,2298753,4,43,15.81,2.02,2,11,0
111917,35380,Self-Employed,727,604700,9,36,16.73,1.76,3,15,1
80158,30632,Salaried,605,90449,4,35,13.43,0.65,3,28,1
85499,27521,Salaried,742,2958760,10,45,17.94,1.2,1,24,0
15987,5310,Salaried,766,3221743,8,56,8.61,3.0,1,13,0
131751,50281,Self-Employed,708,1219715,5,31,11.35,0.75,3,28,0
30169,9584,Salaried,690,3835407,5,35,14.42,1.77,2,16,0
121081,5362,Self-Employed,650,1287293,6,24,12.96,2.62,2,29,0
127637,39023,Self-Employed,692,2660320,12,41,9.61,1.25,2,30,0
162079,14241,Salaried,714,506185,10,33,11.99,1.15,2,23,0
53805,527,Self-Employed,687,1904080,11,42,8.74,2.73,1,16,0
20149,1032,Salaried,712,2058880,4,39,14.61,1.26,2,29,0
160074,43098,Self-Employed,688,2524427,7,54,16.98,2.13,2,23,0
163382,55398,Self-Employed,726,4860321,4,34,16.91,2.35,3,14,0
177581,386,Salaried,774,2188030,6,24,15.15,2.47,2,24,0
168024,21529,Salaried,719,2733684,10,47,12.92,2.99,2,21,1
156779,22576,Salaried,629,750066,13,49,13.36,2.51,2,26,0
54979,7873,Self-Employed,776,4900258,10,48,9.8,2.14,2,30,0
145364,31971,Salaried,677,3069517,2,55,11.74,2.74,1,14,0
39009,94,Self-Employed,698,2637033,3,28,10.28,2.76,3,28,0
35860,7276,Self-Employed,711,3245335,2,36,16.3,2.93,1,19,0
33330,6115,Salaried,719,582358,9,56,17.19,2.44,3,21,0
21589,3607,Self-Employed,751,3030631,11,50,13.6,0.99,3,11,0
162818,28514,Self-Employed,709,1554777,1,38,15.41,2.27,3,26,0
125853,42881,Salaried,780,3479031,1,22,9.65,0.69,3,14,0
120722,35139,Salaried,658,3933734,13,33,14.28,1.29,1,24,0
55768,9461,Self-Employed,594,1983630,2,24,15.18,0.79,3,29,0
143885,14372,Self-Employed,742,2444712,8,46,12.8,2.87,2,22,1
94324,35249,Salaried,803,3435375,7,45,10.81,1.35,2,29,1
149756,23795,Student,612,906798,1,50,16.84,2.28,3,20,0
62387,20159,Self-Employed,665,1902040,12,31,15.56,1.93,2,27,0
80552,8308,Salaried,720,762111,11,27,17.05,0.77,2,18,0
134746,48347,Student,660,1416825,4,51,16.27,1.9,3,25,0
87656,5702,Salaried,718,1987627,14,30,17.91,2.15,3,24,1
139983,34142,Self-Employed,770,2249433,14,59,10.33,2.7,3,13,0
77969,3892,Salaried,680,1325421,13,33,9.32,0.68,1,21,0
32809,3661,Salaried,715,1993419,4,51,11.7,1.24,3,22,0
197997,37049,Salaried,636,2547537,2,27,9.73,2.23,3,18,0
101940,27757,Self-Employed,638,2836278,7,56,13.47,0.59,1,24,0
162318,24996,Salaried,721,4862961,2,40,14.51,1.01,2,27,0
49169,16829,Salaried,741,1970695,8,24,13.99,1.05,1,29,0
133576,37584,Student,753,2250305,7,27,10.96,2.17,2,16,1
89967,9496,Salaried,683,3456009,12,21,17.13,1.21,1,30,0
60489,12495,Self-Employed,709,802648,13,33,8.7,2.0,3,21,1
70919,16950,Salaried,753,447348,2,42,11.81,2.91,1,19,1
166623,26296,Salaried,659,149074,1,41,15.33,2.48,3,16,0
51622,3118,Self-Employed,682,2989961,7,42,15.79,1.33,2,23,0
178878,17659,Self-Employed,674,691075,6,48,12.45,1.68,3,24,0
117555,9305,Self-Employed,720,1174702,5,29,8.66,1.0,1,13,0
55430,3123,Salaried,743,4380919,13,46,14.37,0.54,1,17,0
99117,36679,Salaried,680,4773391,4,29,9.1,1.22,2,28,0
139713,54512,Student,647,1516478,8,35,9.52,1.42,3,28,0
181266,14497,Self-Employed,743,2788659,11,30,14.68,1.91,2,14,0
53130,4693,Self-Employed,709,637453,9,44,11.47,2.86,3,12,1
81775,6566,Salaried,709,1676013,2,28,11.81,2.87,3,19,0
105710,26663,Salaried,722,3453734,2,44,13.12,0.68,2,24,0
85043,14735,Salaried,765,1442775,10,36,17.8,2.04,2,11,0
53135,2890,Self-Employed,721,251657,1,46,17.67,0.61,3,30,0
25119,7351,Self-Employed,740,180775,10,47,12.45,2.12,2,19,0
75262,4681,Self-Employed,688,1795234,14,57,11.02,0.79,3,25,0
167015,38785,Self-Employed,697,4625454,1,24,11.37,2.87,2,12,0
160780,58600,Student,738,3206730,10,44,11.05,2.66,2,16,0
47556,2427,Salaried,678,271746,4,39,13.56,0.56,2,28,0
30154,7810,Student,679,201521,14,56,14.27,2.46,1,24,0
25426,7504,Salaried,672,4361079,9,59,13.14,2.09,2,21,0
118841,32094,Student,611,4235880,6,30,12.38,1.74,1,11,0
93872,20872,Salaried,700,4968507,10,45,10.51,2.01,3,22,0
32167,5924,Salaried,658,74022,11,38,13.08,2.2,3,29,0
98796,10027,Salaried,639,446742,6,39,11.74,2.71,2,28,0
53286,2657,Salaried,768,150960,2,56,13.65,2.42,1,16,0
119162,23707,Self-Employed,614,2801087,11,30,14.91,1.94,3,12,0
106512,8758,Self-Employed,702,1061403,10,53,14.52,2.56,1,15,0
169946,14281,Salaried,644,1496846,5,25,12.89,2.97,1,10,0
81846,29146,Salaried,653,2704676,2,55,13.78,1.25,3,30,0
109467,32076,Self-Employed,733,340714,12,54,11.21,0.8,1,11,0
135640,7077,Self-Employed,704,1862867,5,53,8.73,2.33,1,10,0
46174,17096,Salaried,649,2697349,6,41,14.44,2.95,3,13,0
74331,14614,Salaried,708,377526,9,37,10.9,0.79,2,14,0
134952,14609,Salaried,651,2061022,12,42,14.86,1.58,2,11,0
155111,14990,Salaried,681,2481500,9,57,15.6,0.66,1,25,0
84211,12907,Self-Employed,645,4193904,4,35,17.2,2.44,2,17,0
198581,6472,Salaried,753,1049529,2,55,17.6,2.87,3,24,0
189224,49104,Salaried,695,2093303,7,48,8.6,1.75,3,20,0
192244,4355,Salaried,744,2683719,4,27,17.91,1.52,3,19,0
154333,4474,Salaried,826,2567293,12,52,14.99,2.77,1,12,0
58724,10663,Salaried,758,2738828,4,31,14.61,0.83,3,20,0
61627,8303,Self-Employed,666,256823,7,30,8.64,2.73,1,26,0
177325,24230,Salaried,729,4533473,14,29,16.68,1.48,1,19,1
92661,20998,Self-Employed,668,3410408,8,34,9.88,1.9,3,26,0
120887,1637,Salaried,746,4600642,4,33,16.45,1.82,3,23,0
198429,8669,Student,572,3607854,13,45,8.65,2.04,1,10,0
110825,32780,Self-Employed,769,1410247,9,22,14.64,2.86,3,18,1
106005,15903,Student,599,1071983,8,55,12.63,2.88,2,24,0
192411,16087,Self-Employed,702,2565091,3,27,10.41,2.58,1,13,0
136401,20455,Salaried,691,3618918,12,41,9.52,0.98,1,29,0
150008,33166,Salaried,665,3361784,12,38,12.68,1.33,3,30,0
168222,22061,Self-Employed,678,4350675,1,23,9.67,1.72,3,12,0
49593,13786,Salaried,680,3387864,1,59,13.12,2.76,1,29,0
88356,1499,Self-Employed,707,2089242,8,31,14.44,1.8,1,30,0
66940,21260,Student,689,2907547,4,59,16.36,2.94,1,16,0
67196,375,Salaried,658,3382299,13,44,14.95,2.96,3,30,0
139283,49892,Salaried,716,3405672,14,39,9.12,2.0,1,12,0
32373,12684,Self-Employed,717,998784,14,24,11.42,2.69,2,24,0
41583,6360,Salaried,660,1735978,5,46,11.24,3.0,2,19,0
188420,24395,Salaried,706,705860,14,58,17.19,2.62,3,25,0
121598,15720,Salaried,638,4989380,6,52,16.74,2.14,1,26,0
186612,26255,Salaried,655,2693508,2,59,12.02,2.61,1,28,0
100237,5769,Student,700,4410538,5,56,9.18,0.71,2,10,0
37102,5152,Salaried,731,493604,8,57,16.99,2.09,1,10,0
169731,23088,Salaried,685,4110097,6,53,16.94,1.04,3,30,1
132843,21148,Self-Employed,668,4217542,8,56,16.62,0.79,3,23,0
186783,17748,Self-Employed,723,3883574,5,23,16.53,2.73,3,11,0
149158,25535,Self-Employed,696,4644927,7,29,13.06,2.1,1,11,0
64079,1343,Salaried,718,90565,4,28,10.19,1.11,1,29,1
101916,14016,Self-Employed,691,4529143,9,53,13.04,1.47,2,19,0
96257,1505,Salaried,772,4395237,14,26,13.2,2.93,2,24,0
84393,26671,Salaried,706,1174232,7,59,13.15,2.66,3,24,0
30489,10637,Self-Employed,760,219162,6,24,13.62,0.54,1,16,0
148627,50241,Salaried,649,2737434,6,33,10.95,2.95,1,17,0
92982,6304,Salaried,759,2520319,11,22,11.98,1.42,3,20,1
90842,2589,Salaried,662,2029681,5,25,12.62,2.24,3,25,0
117605,3970,Student,773,4548178,9,47,9.75,2.28,2,16,0
152022,35694,Self-Employed,735,3089933,10,52,12.83,2.78,2,29,0
177605,22880,Salaried,630,1687346,9,41,16.2,2.71,3,18,1
174402,16139,Salaried,718,4249287,6,28,16.37,1.2,1,28,0
64029,21329,Salaried,693,691800,3,58,12.41,2.11,2,10,0
123119,34621,Salaried,664,2300056,13,28,13.43,1.48,3,27,0
196737,41862,Salaried,599,3979570,13,23,8.82,1.81,1,17,0
151352,37012,Salaried,735,2633092,14,23,14.91,1.89,3,17,1
164477,2821,Self-Employed,664,4238084,3,42,12.34,1.49,1,17,0
170870,863,Salaried,755,1153035,2,26,12.73,1.66,2,23,0
154201,26418,Self-Employed,643,546626,5,22,16.8,1.02,1,11,0
141675,28213,Self-Employed,750,328429,7,43,12.89,2.02,1,12,1
116041,23340,Salaried,761,1044426,4,22,8.7,2.4,3,16,1
124588,11154,Salaried,662,1711393,3,58,10.66,1.57,1,12,0
104170,26292,Self-Employed,730,3212633,2,37,13.02,2.94,2,24,0
172306,66538,Salaried,669,1978347,10,55,12.53,0.64,3,20,0
143993,11330,Salaried,709,4829577,5,54,16.67,1.97,3,11,0
151322,40280,Salaried,656,2183520,9,43,13.65,1.96,3,27,0
73900,15494,Salaried,720,4644641,6,50,15.05,0.59,3,23,0
102409,37664,Student,657,1886301,12,28,12.96,1.06,3,27,0
90276,12559,Salaried,720,4194101,2,42,12.68,2.76,3,11,0
112847,38206,Salaried,729,1393961,11,56,12.74,1.86,3,13,0
160906,15577,Salaried,682,2533587,5,25,12.4,1.59,2,23,0
17674,2873,Salaried,823,3614610,3,33,13.62,1.54,2,16,0
143544,52342,Salaried,559,4231497,6,49,10.88,2.72,3,24,0
45284,14333,Student,721,4409076,13,51,16.97,1.42,1,15,0
30015,9184,Student,725,4573088,7,36,11.66,2.65,3,14,1
191776,42369,Self-Employed,648,3876994,4,50,9.9,1.27,3,29,1
143925,9145,Salaried,656,3651070,10,36,9.42,1.83,3,27,0
145085,2749,Salaried,802,2312353,1,32,8.63,0.86,1,20,0
17064,5502,Salaried,593,2633896,14,37,12.52,2.56,2,17,0
161396,63960,Salaried,590,1393348,6,36,10.28,2.34,1,21,1
56098,4923,Salaried,780,2482833,8,32,8.71,1.83,1,27,0
158375,50701,Self-Employed,770,2558648,4,28,13.44,0.56,1,24,1
153039,6661,Salaried,710,2762510,9,40,14.96,1.7,1,17,0
183768,70246,Salaried,663,2687023,1,23,9.31,1.06,3,13,0
152181,42677,Self-Employed,767,3856708,10,36,12.88,1.53,2,30,0
168075,27571,Salaried,823,686480,1,50,15.56,2.64,1,24,0
178118,70977,Salaried,744,1421028,4,43,17.87,2.42,2,20,0
139293,14071,Self-Employed,795,4770710,8,48,14.84,1.1,3,10,0
96271,19158,Self-Employed,640,3518454,12,25,10.83,2.96,3,11,0
167777,44653,Salaried,730,828873,13,40,15.31,2.76,2,17,1
77185,12777,Salaried,724,496295,5,21,14.18,1.82,3,25,1
134599,33181,Salaried,684,2915530,6,50,10.51,1.83,2,10,1
31225,1946,Salaried,729,3975300,10,41,16.59,2.75,1,12,0
175262,26141,Salaried,700,4611295,5,40,12.56,2.09,3,27,0
29012,2121,Salaried,722,3639974,8,26,17.64,1.84,3,25,0
64757,21119,Self-Employed,696,1489485,5,42,15.37,2.37,2,30,0
131832,31795,Self-Employed,727,2673223,7,38,14.62,1.09,3,29,1
32426,9036,Self-Employed,653,753446,3,28,15.42,2.7,1,29,0
139158,17978,Salaried,709,4354395,9,59,13.04,1.83,3,22,0
84770,26720,Salaried,672,849800,10,52,13.3,2.01,3,29,0
23734,8883,Self-Employed,680,3121487,8,53,16.59,0.72,3,13,0
196374,15624,Self-Employed,577,1378142,2,36,14.97,1.27,2,13,0
194304,32743,Salaried,704,4037422,10,32,17.02,1.57,1,11,0
130106,28357,Salaried,729,2099871,7,58,16.96,1.53,1,22,0
113171,2446,Salaried,549,755051,4,54,17.78,2.45,3,22,1
37343,11328,Self-Employed,664,3552896,9,34,15.15,1.21,3,29,0
30784,2758,Self-Employed,765,1637582,14,56,13.27,0.96,2,16,0
115668,26832,Salaried,610,4650384,11,53,10.08,1.96,1,16,0
192187,56210,Salaried,741,1586843,2,43,15.2,2.04,3,26,0
156295,58666,Self-Employed,716,729520,1,22,11.27,0.8,1,19,0
195060,10348,Salaried,709,1113205,1,41,11.19,0.51,3,21,0
112275,40416,Salaried,724,1018305,5,22,10.76,2.79,3,25,0
129441,3800,Salaried,596,1388245,5,47,16.81,0.7,2,11,1
144401,31107,Student,689,4604142,9,29,16.75,2.74,1,30,0
171014,68363,Salaried,695,292723,6,21,14.49,1.5,1,18,0
130900,23729,Salaried,673,3818995,14,31,12.99,2.13,3,21,0
24457,1154,Self-Employed,727,1953046,6,23,14.89,0.96,3,26,0
40600,13010,Salaried,758,3625115,4,43,14.27,2.56,2,25,0
28149,6940,Salaried,720,2404112,9,46,12.45,0.95,3,14,0
19789,3775,Salaried,742,2339358,2,24,12.11,1.47,1,28,0
171049,129,Salaried,704,3732358,2,38,12.14,1.1,2,26,0
67664,4860,Self-Employed,692,2652807,4,26,14.1,2.59,1,12,0
146809,29429,Salaried,736,4692356,14,55,14.65,2.65,2,26,0
113730,24509,Salaried,710,2663182,2,42,12.79,1.43,1,24,0
87618,25532,Salaried,686,4490434,14,35,17.7,1.27,3,28,0
45346,10317,Self-Employed,692,4725919,2,42,9.3,2.43,1,24,0
25934,4021,Self-Employed,676,4726195,13,57,11.8,2.7,1,27,0
116150,35732,Self-Employed,596,3437752,4,32,12.48,2.06,2,21,0
34116,6473,Salaried,600,132604,5,58,8.66,2.82,1,21,0
182596,54606,Salaried,767,2432508,7,38,11.97,1.46,3,12,1
181901,56309,Salaried,627,2033756,13,55,11.1,0.88,2,20,0
186742,67603,Self-Employed,745,1521602,13,50,13.31,0.95,2,19,0
180913,44713,Self-Employed,753,388781,3,44,11.7,2.17,1,24,0
135918,24500,Self-Employed,770,4699922,12,50,15.4,1.52,2,20,0
179125,11957,Salaried,706,2293256,11,34,13.34,0.89,3,10,0
56247,10280,Salaried,667,4450908,11,26,9.73,1.23,1,29,0
31025,9780,Student,753,3450205,8,23,15.63,1.83,3,13,0
